Visit #,Start Time,End Time,Ship,Length Of Stay,Ship Type,Cargo Type Name,Visit Shipping Line Name,Stevedore,GT,LOA,Arrival Berth Name,Arrival Berth Code,Departure Berth Name,Departure Berth Code
PEV-17-004094,1/9/18 5:55,1/9/18 16:05,ROYAL PRINCESS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",142714,1082.73,02,2,02,2
PEV-18-000138,1/7/18 18:40,1/9/18 8:50,GLAFKOS,1d14h,TANKER,GASOLINE,BP Amoco,BP Products North America Inc.,29940,600.423,09,9,09,9
PEV-17-004400,1/7/18 19:50,1/9/18 8:00,JAUME I,1d12h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,01,1,01,1
PEV-17-004547,1/7/18 23:45,1/9/18 6:25,WEST VIRGINIA,1d7h,TANKER,PETROLEUM,Nordsud Shipping,Marathon Petroleum Company LP,29801,601.4401,07,7,07,7
PEV-18-000111,1/6/18 23:45,1/8/18 21:40,GARDEN STATE,1d22h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.","Motiva Enterprises, LLC",29923,610.266,13,13,13,13
PEV-18-000105,1/8/18 3:50,1/8/18 21:30,DENEB J,18h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8280,458.0276,33A,33A,33A,33A
PEV-17-004241,1/8/18 5:55,1/8/18 20:30,MAERSK IDAHO,15h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida Stevedoring, Inc.",50698,958.2817,32,32,32,32
PEV-18-000129,1/7/18 21:15,1/8/18 19:00,TUG MAKO,22h,TUG,ASPHALT,Kirby Offshore Marine,"Transmontaigne Product Services, Inc.",499,116.049,05,5,02,2
PEV-18-000130,1/7/18 21:15,1/8/18 19:00,BARGE PENN 81,22h,"TANK BARGE, PUSHED",ASPHALT,Kirby Offshore Marine,"Transmontaigne Product Services, Inc.",6373,378,05,5,02,2
PEV-17-004331,1/8/18 14:00,1/8/18 18:40,ALLEGRO,5h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",2984,323.7691,31,31,31,31
PEV-18-000012,1/6/18 22:00,1/8/18 17:10,BARGE CHARLOTTE BRIDGE,1d19h,GENERAL CARGO,BREAK BULK,"Trailer Bridge, Inc.","Host Terminals, LLC",5860,379.8,06,6,06,6
PEV-18-000013,1/6/18 22:00,1/8/18 17:10,TUG RIO BRAVO,1d19h,TUG,BREAK BULK,Mobro Marine,"Host Terminals, LLC",325,0,06,6,06,6
PEV-18-000139,1/7/18 2:00,1/8/18 17:00,BARGE COLUMBIA BALTIMORE,1d15h,BARGE CARRIER,LAY-IN,"Crowley Liner Services, Inc.",STEVEDORE NOT REQUIRED,4271,346.0143,11,11,11,11
PEV-18-000140,1/7/18 2:00,1/8/18 17:00,TUG PATRICE MCALLISTER,1d15h,TUG,LAY-IN,"Crowley Liner Services, Inc.",STEVEDORE NOT REQUIRED,190,123.0375,11,11,11,11
PEV-17-004102,1/8/18 7:05,1/8/18 16:25,INDEPENDENCE OF THE SEAS,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,154407,1111.9965,29,29,29,29
PEV-18-000115,1/8/18 7:00,1/8/18 16:00,VANQUISH,9h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-17-004566,1/8/18 8:00,1/8/18 15:20,FIESTA MAIL,7h,CONTAINER SHIP,CONTAINER,MAILBOAT COMPANY,Portus-PEV LLC,2485,225.175,21,21,21,21
PEV-18-000121,1/7/18 21:30,1/8/18 13:55,CHIQUITA TRADER,16h,CONTAINER SHIP,CONTAINER,"Chiquita Fresh North America, LLC","Florida International Terminal, LLC",27059,695.0798,30,30,30,30
PEV-17-004070,1/8/18 6:05,1/8/18 13:20,CELEBRITY REFLECTION,7h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,125366,1046.639,18,18,18,18
PEV-17-004490,1/8/18 3:40,1/8/18 12:45,TRANS LEADER,9h,VEHICLES CARRIER,AUTOMOBILES,NYK Line North America Inc.,"Coleary Transport Company, Inc.",43810,590.58,31,31,31,31
PEV-17-004420,1/7/18 13:10,1/8/18 1:35,JACOB,12h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",21971,645.7992,32,32,32,32
PEV-18-000106,1/7/18 15:10,1/7/18 21:45,PAVO J,7h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-17-004057,1/7/18 6:10,1/7/18 17:05,ALLURE OF THE SEAS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,225282,1181.16,18,18,18,18
PEV-17-004049,1/7/18 6:15,1/7/18 16:50,REGAL PRINCESS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",142714,1082.73,02,2,02,2
PEV-17-004053,1/7/18 7:00,1/7/18 16:40,ZUIDERDAM,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Holland America Line-Westours, Inc.","Florida Stevedoring, Inc.",82305,936.463,21,21,21,21
PEV-17-004061,1/7/18 6:10,1/7/18 16:25,CELEBRITY SILHOUETTE,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,122210,1033.515,29,29,29,29
PEV-17-004035,1/7/18 7:10,1/7/18 16:20,CROWN PRINCESS,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",113561,946.995,04,4,04,4
PEV-17-004040,1/7/18 7:05,1/7/18 16:10,EURODAM,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",86273,936.4958,26,26,26,26
PEV-17-004562,1/6/18 22:50,1/7/18 14:30,INDEPENDENCE,16h,TANKER,PETROLEUM,Seabulk Tankers LTD.,TPSI Terminals L.L.C.,29923,610.266,09,9,09,9
PEV-18-000015,1/6/18 4:20,1/7/18 9:50,BARGE BOUCHARD 270,1d6h,TANK BARGE,PETROLEUM,"Bouchard Transportation Co., Inc.",ExxonMobil Oil Corporation,19547,628,07,7,07,7
PEV-18-000014,1/6/18 4:20,1/7/18 9:50,TUG KIM M. BOUCHARD,1d6h,TUG,PETROLEUM,"Bouchard Transportation Co., Inc.",ExxonMobil Oil Corporation,1763,150.0073,07,7,07,7
PEV-17-004399,1/6/18 22:45,1/7/18 8:05,JAUME I,9h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,01,1,01,1
PEV-17-004577,1/6/18 22:05,1/7/18 7:35,MAERSK WILMINGTON,10h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",17280,564.2992,30,30,30,30
PEV-18-000110,1/6/18 7:40,1/7/18 1:25,K-BREEZE,18h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,32,32,32,32
PEV-18-000119,1/6/18 8:55,1/7/18 0:30,PELAGIC EXPRESS,16h,GENERAL CARGO,CONTAINER,Seacor Marine Inc.,H. T. Shipping Inc and Hybur Ltd.,1867,266.9094,11,11,16,16
PEV-18-000109,1/6/18 13:15,1/6/18 22:30,WEISSHORN,9h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",12029,515.5435,33A,33A,33A,33A
PEV-17-004256,1/6/18 6:50,1/6/18 20:20,SILVER WIND,14h,PASSENGER SHIP,CRUISE - MULTI-DAY,Silversea Cruises,Ceres Marine Terminals Inc.,17235,511.2126,19,19,19,19
PEV-17-004513,1/6/18 10:00,1/6/18 20:00,DELPHINUS,10h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",5730,400.0523,30,30,30,30
PEV-17-004090,1/6/18 7:35,1/6/18 20:00,NIEUW AMSTERDAM,12h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Holland America Line-Westours, Inc.","Florida Stevedoring, Inc.",86273,936.0693,26,26,21,21
PEV-17-004561,1/5/18 11:50,1/6/18 19:40,OVERSEAS KEY WEST,1d8h,TANKER,GASOLINE,BP Amoco,Chevron U.S.A. Inc. d/b/a Chevron Products Company,30770,619.7809,09,9,09,9
PEV-17-004560,1/6/18 14:45,1/6/18 19:40,DOLE ECUADOR,5h,CONTAINER SHIP,CONTAINER,Dole Fresh Fruit International LTD.,"Sun Terminals, Inc.",16488,586.8069,31,31,31,31
PEV-17-004563,1/5/18 21:30,1/6/18 18:15,GLAFKOS,21h,TANKER,LAY-IN,BP Shipping (British Petroleum),BP Products North America Inc.,29940,600.423,13,13,13,13
PEV-17-004045,1/6/18 6:00,1/6/18 17:55,FREEDOM OF THE SEAS,12h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,154407,1111.5044,29,29,29,29
PEV-17-004112,1/6/18 6:10,1/6/18 16:30,HARMONY OF THE SEAS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,226963,1188.1157,18,18,18,18
PEV-17-004065,1/6/18 6:45,1/6/18 16:10,CARNIVAL CONQUEST,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Carnival Corporation,"Florida Stevedoring, Inc.",110239,952.1462,04,4,04,4
PEV-17-004567,1/6/18 7:25,1/6/18 13:20,CHAMPION III,6h,LANDING CRAFT,CONTAINER,MAILBOAT COMPANY,SEACOR Island Lines LLC,1097,178.4044,33B,33B,33B,33B
PEV-17-004505,1/5/18 20:55,1/6/18 12:55,FS IPANEMA,16h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",21018,589.5629,33A,33A,31,31
PEV-17-004512,1/5/18 17:55,1/6/18 11:10,VEGA SAGITTARIUS,17h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",9750,456.6168,17,17,32,32
PEV-18-000108,1/6/18 3:00,1/6/18 11:00,PEGASUS J,8h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8273,458.0276,33A,33A,33A,33A
PEV-17-004398,1/5/18 21:55,1/6/18 7:55,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,01,1,01,1
PEV-17-004555,1/5/18 13:30,1/6/18 3:15,MONTE ACONCAGUA,14h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",69132,892.432,30,30,30,30
PEV-17-004421,1/5/18 1:50,1/6/18 1:15,MSC TORONTO,23h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",89954,1065.6688,32,32,32,32
PEV-17-004582,1/4/18 20:15,1/6/18 1:10,BARGE 650-6,1d5h,TANK BARGE,PETROLEUM,"Crowley Petroleum Transport, Inc.","Motiva Enterprises, LLC",13462,587.0037,07,7,07,7
PEV-17-004581,1/4/18 20:15,1/6/18 1:10,TUG COMMITMENT,1d5h,TUG,PETROLEUM,"Crowley Petroleum Transport, Inc.","Motiva Enterprises, LLC",1052,131.4041,07,7,07,7
PEV-17-004330,1/5/18 13:35,1/5/18 20:35,ALLEGRO,7h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",2984,323.7691,31,31,31,31
PEV-18-000107,1/5/18 10:50,1/5/18 19:30,REGULA,9h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",7219,435.3887,33A,33A,33A,33A
PEV-17-004098,1/5/18 7:25,1/5/18 17:45,CRYSTAL SERENITY,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Crystal Cruises,"Florida Stevedoring, Inc.",68870,820.25,21,21,21,21
PEV-17-004105,1/5/18 7:05,1/5/18 17:05,PACIFIC PRINCESS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",30277,593.861,02,2,02,2
PEV-17-004119,1/5/18 6:10,1/5/18 16:10,WESTERDAM,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",82348,935.8724,26,26,26,26
PEV-17-004108,1/5/18 7:35,1/5/18 16:00,SERENADE OF THE SEAS,8h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,90090,961.9892,18,18,18,18
PEV-17-004583,12/31/17 14:25,1/5/18 15:20,TUG GENESIS VISION,5d1h,TUG,LAY-IN,Genesis Marine,STEVEDORE NOT REQUIRED,389,104.992,14,14,05,5
PEV-17-004584,12/31/17 14:25,1/5/18 15:20,BARGE GM 6508,5d1h,TANK BARGE,LAY-IN,Genesis Marine,STEVEDORE NOT REQUIRED,5568,362.11,14,14,05,5
PEV-18-000017,1/3/18 22:45,1/5/18 14:55,CAPE TAMPA,1d16h,TANKER,JET FUEL,UPT Panama Pool Limited,Valero Marketing & Supply Co.,42010,750.0366,13,13,13,13
PEV-17-004565,1/5/18 9:20,1/5/18 14:55,CAPE MAIL,6h,CONTAINER SHIP,CONTAINER,MAILBOAT COMPANY,Portus-PEV LLC,858,218.0224,33C,33C,33C,33C
PEV-17-004549,1/4/18 4:30,1/5/18 10:10,SEABULK ARCTIC,1d6h,TANKER,PETROLEUM,Seabulk Tanker Co.,Citgo Petroleum Corporation,30415,600.423,09,9,09,9
PEV-17-004553,1/3/18 2:05,1/5/18 9:05,AS FEDERICA,2d7h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",15375,545.1381,32,32,33A,33A
PEV-17-004395,1/1/18 21:30,1/5/18 7:55,JAUME I,3d10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,01,1,01,1
PEV-17-004510,1/4/18 15:50,1/5/18 4:30,JAN CARIBE,13h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",2770,310.0545,31,31,31,31
PEV-17-004578,1/4/18 19:10,1/5/18 1:25,MARGARETE SCHULTE,6h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",26671,689.01,30,30,30,30
PEV-18-000004,1/4/18 10:15,1/4/18 23:40,TUCANA J,13h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-17-004536,1/2/18 8:00,1/4/18 22:35,THORCO LOGIC,2d15h,GENERAL CARGO,YACHTS LOAD ON-OFF,Franbo Logic S.A.,"Host Terminals, LLC",13110,431.9765,11,11,11,11
PEV-18-000114,1/4/18 16:15,1/4/18 21:50,CARIBE MARINER,6h,CONTAINER SHIP,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2899,325.7049,16,16,16,16
PEV-17-004255,1/4/18 6:30,1/4/18 20:00,AMSTERDAM,14h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",62735,780.3202,26,26,26,26
PEV-17-004473,1/4/18 6:00,1/4/18 17:30,YORKTOWN EXPRESS,12h,CONTAINER SHIP,CONTAINER,Hapag Lloyd,"Florida International Terminal, LLC",40146,797.283,30,30,30,30
PEV-17-004101,1/4/18 7:00,1/4/18 16:35,INDEPENDENCE OF THE SEAS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,154407,1111.9965,18,18,18,18
PEV-18-000008,1/3/18 21:10,1/4/18 15:30,CARIBE NAVIGATOR,18h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2996,327.9359,16,16,16,16
PEV-17-004511,1/3/18 16:10,1/4/18 14:40,HOHERIFF,23h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",9996,456.3871,31,31,31,31
PEV-17-004551,1/3/18 10:05,1/4/18 12:25,CHEMTRANS MOON,1d2h,TANKER,FUEL OIL,SeS. A.me Marine,"TransMontaigne Product Services, Inc.",40763,750.0366,07,7,07,7
PEV-18-000003,1/1/18 17:05,1/4/18 8:00,TUG SEA CRESCENT,2d15h,TUG,LAY-IN,"Stevens Towing Co., Inc.",STEVEDORE NOT REQUIRED,222,96.0021,06,6,06,6
PEV-18-000001,1/1/18 17:05,1/4/18 8:00,BARGE STEVENS 2501,2d15h,GENERAL CARGO BARGE,LAY-IN,"Stevens Towing Co., Inc.",STEVEDORE NOT REQUIRED,1253,240,06,6,06,6
PEV-17-004546,1/2/18 12:30,1/4/18 3:55,AS FELICIA,1d15h,CONTAINER SHIP,CONTAINER,Solymar/Agriex Line,Portus-PEV LLC,15375,545.1381,19,19,17,17
PEV-17-004520,1/3/18 19:05,1/4/18 3:40,JPO LIBRA,9h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",41359,866.3152,30,30,30,30
PEV-17-004554,1/3/18 4:50,1/4/18 1:55,K-STORM,21h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-17-004327,1/3/18 14:50,1/4/18 0:35,JSP AMIHAN,10h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",9996,456.6168,32,32,32,32
PEV-17-004552,1/3/18 14:20,1/4/18 12:10,WEISSHORN,10h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",12029,515.5435,32,32,32,32
PEV-17-004081,1/3/18 6:00,1/3/18 23:30,COSTA DELIZIOSA,18h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Costa Cruise Lines, N.V.","Florida Stevedoring, Inc.",92720,964.614,21,21,21,21
PEV-17-004545,1/3/18 11:15,1/3/18 23:20,TUG INTEGRITY,12h,TUG,LAY-IN,BP Shipping (British Petroleum),,1043,135.0131,09,9,09,9
PEV-17-004544,1/3/18 11:15,1/3/18 23:20,BARGE 650-4,12h,TANK BARGE,LAY-IN,"Crowley Petroleum Transport, Inc.",STEVEDORE NOT REQUIRED,13462,587.0037,09,9,09,9
PEV-17-004483,1/2/18 10:35,1/3/18 20:10,TUG INNOVATION,1d10h,TUG,JET FUEL,Chevron USA,Valero Marketing & Supply Co.,1052,135.0131,13,13,13,13
PEV-17-004484,1/2/18 10:35,1/3/18 20:10,BARGE 650-9,1d10h,TANK BARGE,JET FUEL,"Crowley Petroleum Transport, Inc.",Valero Marketing & Supply Co.,13500,587.0037,13,13,13,13
PEV-17-004074,1/3/18 6:55,1/3/18 20:00,SILVER MUSE,13h,PASSENGER SHIP,CRUISE - MULTI-DAY,Silversea Cruises,"R. O. White & Company, Inc.",40791,698.1968,19,19,19,19
PEV-17-004550,1/3/18 13:40,1/3/18 19:40,LINDA D,6h,LANDING CRAFT,CONTAINER,Seacor Marine Inc.,H. T. Shipping Inc and Hybur Ltd.,1092,209.3278,16,16,16,16
PEV-17-004085,1/3/18 7:45,1/3/18 19:15,KONINGSDAM,12h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Holland America Line-Westours, Inc.","Florida Stevedoring, Inc.",99836,982.6595,04,4,04,4
PEV-17-004424,1/2/18 19:20,1/3/18 17:10,MSC WESER,22h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",25703,682.973,31,31,30,30
PEV-17-004115,1/3/18 6:15,1/3/18 16:55,VEENDAM,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",57092,719.228,29,29,29,29
PEV-17-004077,1/3/18 6:50,1/3/18 16:30,CARIBBEAN PRINCESS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",112894,950.0464,02,2,02,2
PEV-17-004072,1/3/18 7:10,1/3/18 16:05,PRINSENDAM,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",38848,669.324,26,26,26,26
PEV-18-000009,1/3/18 3:45,1/3/18 12:40,VANQUISH,9h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-17-004480,1/2/18 8:35,1/3/18 7:30,LOUISIANA,23h,TANKER,PETROLEUM,Nordsud Shipping,"Marathon Petroleum Company, LLC",29801,601.4401,07,7,07,7
PEV-17-004579,1/2/18 12:05,1/2/18 20:05,MAERSK WOLFSBURG,8h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",18123,574.5031,30,30,30,30
PEV-17-004422,1/2/18 5:25,1/2/18 17:20,MSC KRYSTAL,12h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",66399,909.8213,32,32,32,32
PEV-18-000005,1/2/18 6:55,1/2/18 16:25,VANTAGE,10h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-17-004107,1/2/18 7:20,1/2/18 16:05,SERENADE OF THE SEAS,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,90090,961.9892,26,26,26,26
PEV-17-004069,1/2/18 6:45,1/2/18 16:00,CELEBRITY REFLECTION,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,125366,1046.639,18,18,18,18
PEV-17-004474,12/31/17 12:30,1/2/18 9:00,OVERSEAS NIKISKI,1d20h,TANKER,JET FUEL,OSG Ship Management,Valero Marketing & Supply Co.,29242,601.0792,13,13,13,13
PEV-17-004538,1/1/18 6:20,1/2/18 0:35,DENEB J,18h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8280,458.0276,33A,33A,33A,33A
PEV-17-004481,12/31/17 4:05,1/1/18 15:25,BRENTON REEF,1d11h,TANKER,PETROLEUM,Seabulk Tankers LTD.,"TransMontaigne Product Services, Inc.",30770,619.7809,09,9,09,9
PEV-17-003834,12/31/17 17:20,1/1/18 13:40,JAUME I,20h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,01,1,01,1
PEV-17-004537,12/31/17 13:40,1/1/18 7:00,CHAMPION III,17h,LANDING CRAFT,CONTAINER,MAILBOAT COMPANY,SEACOR Island Lines LLC,1097,178.4044,33C,33C,33C,33C
PEV-17-004539,12/31/17 8:25,12/31/17 21:35,PAVO J,13h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-17-004542,12/31/17 2:30,12/31/17 17:50,REGULA,15h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",7219,435.3887,32,32,32,32
PEV-17-004044,12/31/17 5:40,12/31/17 17:15,FREEDOM OF THE SEAS,12h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,154407,1111.5044,29,29,29,29
PEV-17-004056,12/31/17 6:05,12/31/17 16:35,ALLURE OF THE SEAS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,225282,1181.16,18,18,18,18
PEV-17-004060,12/31/17 7:15,12/31/17 16:20,CELEBRITY SILHOUETTE,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,122210,1033.515,26,26,26,26
PEV-17-004064,12/31/17 6:40,12/31/17 16:05,CARNIVAL CONQUEST,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Carnival Corporation,"Florida Stevedoring, Inc.",110239,952.1462,04,4,04,4
PEV-17-004039,12/31/17 6:25,12/31/17 16:00,EURODAM,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",86273,936.4958,21,21,21,21
PEV-17-004518,12/30/17 10:25,12/31/17 10:05,TUG TINA PYNE,24h,TUG,PETROLEUM,Kirby Offshore Marine,"Transmontaigne Product Services, Inc.",1180,135.9974,13,13,13,13
PEV-17-004519,12/30/17 10:25,12/31/17 10:05,BARGE KIRBY 185-02,24h,TANK BARGE,PETROLEUM,Kirby Offshore Marine,"Transmontaigne Product Services, Inc.",11647,578,13,13,13,13
PEV-17-003833,12/30/17 21:40,12/31/17 8:00,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,01,1,01,1
PEV-17-004541,12/30/17 12:50,12/31/17 7:00,PEGASUS J,18h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8273,458.0276,33C,33C,33A,33A
PEV-17-004525,12/29/17 11:05,12/31/17 2:05,S/R AMERICAN PROGRESS,1d15h,TANKER,PETROLEUM,"Seariver Maritime, Inc.",ExxonMobil Oil Corporation,30415,600.423,09,9,09,9
PEV-17-004540,12/30/17 8:20,12/30/17 22:30,K-BREEZE,14h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,32,32,32,32
PEV-17-004472,12/30/17 18:05,12/30/17 21:10,MAERSK WISMAR,3h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",17280,564.2992,30,30,30,30
PEV-17-004423,12/30/17 14:10,12/30/17 20:30,HAMMONIA PALATIUM,6h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",26435,685.4993,32,32,32,32
PEV-17-004462,12/18/17 16:55,12/30/17 18:05,YACHT NATITA,12d1h,YACHT,LAY-IN,Owner (Misc Vessel) Not Listed.,"Host Terminals, LLC",1801,216.5788,11,11,11,11
PEV-17-004093,12/30/17 6:05,12/30/17 18:00,ROYAL PRINCESS,12h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",142714,1082.73,02,2,02,2
PEV-17-004100,12/30/17 7:00,12/30/17 16:50,INDEPENDENCE OF THE SEAS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,154407,1111.9965,29,29,29,29
